name; capacity; gender
Raum 1; 9; F
Raum 2; 9; M
Raum 3; 9; F
Raum 4; 9; M
Raum 5; 8; F
Raum 6; 8; M
Raum 7; 8; M
Raum 8; 8; F
Raum 9; 8; F
Raum 10; 8; F
Raum 11; 8; F
Raum 12; 8; F
Raum 13; 8; M
Raum 14; 8; M
Raum 15; 8; F
Raum 16; 8; M
Raum 17; 8; F
Raum 18; 8; M
Raum 19; 8; M
Raum 20; 8; M
Raum 21; 8; M
Raum 22; 8; F
Raum 23; 8; F
Raum 24; 8; M
Raum 25; 8; M
Raum 26; 8; M
Raum 27; 8; M
Raum 28; 8; M
Raum 29; 8; M
Raum 30; 8; M
Raum 31; 8; M
Raum 32; 8; M
Raum 33; 8; M
Raum 34; 8; M
Raum 35; 8; F
Raum 36; 8; M
Raum 37; 8; M
Raum 38; 8; M
Raum 39; 8; M
Raum 40; 8; F
Raum 41; 8; M
Raum 42; 8; M
Raum 43; 8; F
Raum 44; 8; F
Raum 45; 8; F
Raum 46; 8; F
Raum 47; 8; F
Raum 48; 8; F
Raum 49; 8; F
Raum 50; 8; M
Raum 51; 8; F
Raum 52; 8; M
Raum 53; 8; F
Raum 54; 8; M
Raum 55; 8; F
Raum 56; 8; M
Raum 57; 8; M
Raum 58; 8; F
Raum 59; 8; M
Raum 60; 8; M
Raum 61; 8; F
Raum 62; 8; F
