name;capacity;gender
room 1;9;F
room 2;9;M
room 3;9;M
room 4;9;F
room 5;8;M
room 6;8;F
room 7;8;F
room 8;8;M
room 9;8;M
room 10;8;F
room 11;8;F
room 12;8;F
room 13;8;M
room 14;8;F
room 15;8;M
room 16;8;F
room 17;8;F
room 18;8;M
room 19;8;M
room 20;8;M
room 21;8;F
room 22;8;F
room 23;8;F
room 24;8;M
room 25;8;M
room 26;8;M
room 27;8;M
room 28;8;M
room 29;8;M
room 30;8;M
room 31;8;F
room 32;8;M
room 33;8;M
room 34;8;F
room 35;8;F
room 36;8;M
room 37;8;F
room 38;10;F
room 39;10;M
room 40;12;F
room 41;12;M
